SN,AT1,AT2,AT3,AT4,SN1,SN2,SN3,PBC1,PBC2,PBC3,EO1,EO2,EO3,EC1,EC2,EC3,EC4,EC5,GPI1,GPI2,GPI3,GPI4,GPB1,GPB2,GPB3,GPB4,GPB5,GPB6,Gender,Age,Marital_Status,PB,EC,EO,PI,PBC,SNs,ATT,CaseNo,ZPB,ZEC,ZEO,ZPI,ZPBC,ZSNs,ZATT,EOXEC,ATTXSN,PBCXSN,ATTXPBC
82,7,6,6,6,6,5,4,5,6,6,6,6,5,6,4,5,5,6,5,4,5,4,5,3,3,7,5,3,Female,19,Unmarried,4.3333,5.2000,5.6667,4.5000,5.6667,5.0000,6.2500,82,-0.2374,-0.4996,1.1976,-0.4982,0.7732,0.3511,1.3817,-0.5984,0.4852,0.2715,1.0683
83,6,5,6,6,6,6,7,6,7,5,5,5,6,5,6,5,6,6,5,4,7,5,6,7,4,6,6,4,Female,26,Unmarried,5.5000,5.6000,5.3333,5.2500,6.0000,6.3333,5.7500,83,1.3757,0.1144,0.7781,0.4630,1.1780,2.0905,0.7326,0.0890,1.5315,2.4626,0.8630
84,5,6,5,4,7,5,4,3,4,6,6,4,4,4,6,5,5,6,4,4,4,6,2,3,3,4,2,3,Male,20,Unmarried,2.8333,5.2000,4.6667,4.5000,4.3333,5.3333,5.0000,84,-2.3113,-0.4996,-0.0608,-0.4982,-0.8461,0.7860,-0.2410,0.0304,-0.1894,-0.6650,0.2039
85,5,6,5,6,7,5,5,6,5,4,5,6,5,6,5,5,6,7,7,5,6,5,6,5,4,5,4,4,Female,25,Unmarried,4.6667,5.8000,5.3333,5.7500,5.0000,5.6667,5.5000,85,0.2235,0.4214,0.7781,1.1038,-0.0364,1.2208,0.4081,0.3279,0.4982,-0.0445,-0.0149
86,6,6,6,5,4,5,4,6,4,4,5,6,5,4,6,5,7,6,5,4,4,2,5,5,6,5,5,6,Female,24,Unmarried,5.3333,5.6000,5.3333,3.7500,4.6667,4.3333,5.7500,86,1.1453,0.1144,0.7781,-1.4594,-0.4413,-0.5185,0.7326,0.0890,-0.3799,0.2288,-0.3233
87,4,5,5,4,4,4,3,3,3,3,5,5,7,5,4,6,5,7,5,5,4,3,4,3,2,4,3,5,Female,22,Married,3.5000,5.4000,5.6667,4.2500,3.0000,3.6667,4.5000,87,-1.3896,-0.1926,1.1976,-0.8186,-2.4653,-1.3882,-0.8900,-0.2307,1.2355,3.4224,2.1942
88,7,5,7,7,4,7,5,5,4,4,7,4,7,7,6,7,7,6,6,7,6,6,5,3,6,5,4,6,Female,23,Unmarried,4.8333,6.6000,6.0000,6.2500,4.3333,5.3333,6.5000,88,0.4540,1.6494,1.6171,1.7446,-0.8461,0.7860,1.7062,2.6671,1.3410,-0.6650,-1.4436
89,7,6,6,7,4,4,4,5,6,7,5,5,5,6,7,6,7,5,6,5,5,6,5,3,5,5,5,3,Female,18,Unmarried,4.3333,6.2000,5.0000,5.5000,6.0000,4.0000,6.5000,89,-0.2374,1.0354,0.3586,0.7834,1.1780,-0.9534,1.7062,0.3713,-1.6267,-1.1231,2.0099
90,5,5,5,6,5,4,5,6,6,5,5,6,3,5,7,6,6,6,3,5,5,3,5,3,4,6,5,4,Female,21,Unmarried,4.5000,6.0000,4.6667,4.0000,5.6667,4.6667,5.2500,90,-0.0069,0.7284,-0.0608,-1.1390,0.7732,-0.0837,0.0836,-0.0443,-0.0070,-0.0647,0.0646
91,6,7,6,6,5,4,6,6,6,5,6,4,3,5,7,6,6,7,6,4,5,5,4,3,3,6,5,4,Male,20,Unmarried,4.1667,6.2000,4.3333,5.0000,5.6667,5.0000,6.2500,91,-0.4678,1.0354,-0.4803,0.1426,0.7732,0.3511,1.3817,-0.4973,0.4852,0.2715,1.0683
92,4,4,4,4,4,6,5,5,4,6,4,4,3,5,4,4,5,4,5,7,6,5,5,3,5,4,5,4,Female,23,Unmarried,4.3333,4.4000,3.6667,5.7500,5.0000,5.0000,4.0000,92,-0.2374,-1.7276,-1.3192,1.1038,-0.0364,0.3511,-1.5391,2.2792,-0.5404,-0.0128,0.0561
93,6,6,6,5,3,3,4,4,5,5,5,6,5,7,6,6,7,6,6,5,6,5,6,4,6,5,4,5,Male,22,Unmarried,5.0000,6.4000,5.3333,5.5000,4.6667,3.3333,5.7500,93,0.6844,1.3424,0.7781,0.7834,-0.4413,-1.8231,0.7326,1.0445,-1.3356,0.8044,-0.3233
94,4,3,5,4,4,5,4,7,7,6,4,5,4,3,3,5,4,5,5,6,3,6,5,6,6,7,7,5,Male,19,Unmarried,6.0000,4.0000,4.3333,5.0000,6.6667,4.3333,4.0000,94,2.0671,-2.3416,-0.4803,0.1426,1.9876,-0.5185,-1.5391,1.1247,0.7981,-1.0307,-3.0592
95,6,6,5,6,3,3,4,4,4,5,6,5,6,5,4,5,6,5,4,4,6,4,5,4,3,7,3,3,Female,22,Unmarried,4.1667,5.0000,5.6667,4.5000,4.3333,3.3333,5.7500,95,-0.4678,-0.8066,1.1976,-0.4982,-0.8461,-1.8231,0.7326,-0.9660,-1.3356,1.5424,-0.6198
96,6,6,7,5,6,6,6,7,7,6,3,5,5,6,7,7,7,7,5,7,7,6,6,5,5,7,5,4,Male,23,Unmarried,5.3333,6.8000,4.3333,6.2500,6.6667,6.0000,6.0000,96,1.1453,1.9564,-0.4803,1.7446,1.9876,1.6556,1.0572,-0.9396,1.7503,3.2908,2.1013
97,4,5,5,4,3,3,3,4,5,4,4,4,4,5,5,5,6,6,6,5,3,4,3,3,5,5,5,4,Male,21,Unmarried,4.1667,5.4000,4.0000,4.5000,4.3333,3.0000,4.5000,97,-0.4678,-0.1926,-0.8998,-0.4982,-0.8461,-2.2579,-0.8900,0.1733,2.0096,1.9103,0.7530
98,4,4,5,6,7,5,5,4,2,5,4,5,4,4,5,5,5,6,2,4,3,4,2,3,2,5,4,2,Female,22,Unmarried,3.0000,5.0000,4.3333,3.2500,3.6667,5.6667,4.7500,98,-2.0809,-0.8066,-0.4803,-2.1002,-1.6557,1.2208,-0.5655,0.3874,-0.6904,-2.0213,0.9363
99,6,6,4,5,5,6,3,6,6,5,7,5,5,6,5,7,7,7,3,4,4,5,4,3,4,4,4,4,Male,19,Unmarried,3.8333,6.4000,5.6667,4.0000,5.6667,4.6667,5.2500,99,-0.9287,1.3424,1.1976,-1.1390,0.7732,-0.0837,0.0836,1.6076,-0.0070,-0.0647,0.0646
100,6,5,4,4,4,4,5,4,4,6,3,4,4,3,5,4,4,5,6,5,5,5,5,4,7,6,5,6,Male,20,Unmarried,5.5000,4.2000,3.6667,5.2500,4.6667,4.3333,4.7500,100,1.3757,-2.0346,-1.3192,0.4630,-0.4413,-0.5185,-0.5655,2.6842,0.2932,0.2288,0.2495
101,6,4,5,5,4,6,6,6,6,5,5,5,4,4,5,6,5,5,7,6,4,5,6,5,4,6,7,7,Female,19,Unmarried,5.8333,5.0000,4.6667,5.5000,5.6667,5.3333,5.0000,101,1.8366,-0.8066,-0.0608,0.7834,0.7732,0.7860,-0.2410,0.0491,-0.1894,0.6077,-0.1863
102,5,3,3,5,6,3,4,6,4,5,6,6,6,6,6,5,5,6,6,6,5,6,7,5,6,6,6,6,Female,22,Unmarried,6.0000,5.6000,6.0000,5.7500,5.0000,4.3333,4.0000,102,2.0671,0.1144,1.6171,1.1038,-0.0364,-0.5185,-1.5391,0.1849,0.7981,0.0189,0.0561
103,5,5,5,5,4,5,3,5,7,3,4,4,5,6,6,6,5,7,4,5,4,3,4,4,3,4,4,4,Male,21,Unmarried,3.8333,6.0000,4.3333,4.0000,5.0000,4.0000,5.0000,103,-0.9287,0.7284,-0.4803,-1.1390,-0.0364,-0.9534,-0.2410,-0.3498,0.2297,0.0347,0.0088
104,5,4,4,5,5,5,5,6,4,4,5,5,6,4,4,6,5,6,5,4,5,4,5,4,5,5,5,5,Male,20,Unmarried,4.8333,5.0000,5.3333,4.5000,4.6667,5.0000,4.5000,104,0.4540,-0.8066,0.7781,-0.4982,-0.4413,0.3511,-0.8900,-0.6277,-0.3125,-0.1549,0.3927
105,4,3,4,4,6,5,7,6,4,5,4,6,5,6,5,6,4,6,4,4,4,2,6,2,4,4,5,2,Female,19,Unmarried,3.8333,5.4000,5.0000,3.5000,5.0000,6.0000,3.7500,105,-0.9287,-0.1926,0.3586,-1.7798,-0.0364,1.6556,-1.8636,-0.0691,-3.0855,-0.0603,0.0679
106,6,5,5,5,3,4,3,5,5,5,4,6,4,6,6,5,6,6,5,6,6,6,5,3,5,4,4,6,Male,22,Unmarried,4.5000,5.8000,4.6667,5.7500,5.0000,3.3333,5.2500,106,-0.0069,0.4214,-0.0608,1.1038,-0.0364,-1.8231,0.0836,-0.0256,-0.1523,0.0664,-0.0030
107,6,5,7,6,6,6,4,7,6,6,6,4,5,6,6,6,7,7,6,5,5,6,7,6,6,6,6,6,Male,18,Unmarried,6.1667,6.4000,5.0000,5.5000,6.3333,5.3333,6.0000,107,2.2975,1.3424,0.3586,0.7834,1.5828,0.7860,1.0572,0.4814,0.8309,1.2441,1.6733
108,4,7,3,5,5,4,5,7,7,6,5,5,6,4,5,5,4,4,6,5,5,6,4,5,3,6,5,3,Male,19,Unmarried,4.3333,4.4000,5.3333,5.5000,6.6667,4.6667,4.7500,108,-0.2374,-1.7276,0.7781,0.7834,1.9876,-0.0837,-0.5655,-1.3443,0.0473,-0.1664,-1.1240
109,6,6,5,4,5,5,6,6,4,4,4,4,3,5,4,5,5,5,4,3,4,3,4,3,4,5,5,4,Female,22,Unmarried,4.1667,4.8000,3.6667,3.5000,4.6667,5.3333,5.2500,109,-0.4678,-1.1136,-1.3192,-1.7798,-0.4413,0.7860,0.0836,1.4692,0.0657,-0.3468,-0.0369
110,5,4,6,5,5,5,3,6,4,6,3,4,3,6,6,6,5,6,4,4,5,4,6,3,3,5,5,3,Female,22,Unmarried,4.1667,5.8000,3.3333,4.2500,5.3333,4.3333,5.0000,110,-0.4678,0.4214,-1.7387,-0.8186,0.3684,-0.5185,-0.2410,-0.7326,0.1249,-0.1910,-0.0888
111,6,7,5,6,5,6,4,5,4,5,4,5,3,4,4,4,4,4,6,5,5,4,5,3,4,6,6,4,Female,20,Unmarried,4.6667,4.0000,4.0000,5.0000,4.6667,5.0000,6.0000,111,0.2235,-2.3416,-0.8998,0.1426,-0.4413,0.3511,1.0572,2.1069,0.3712,-0.1549,-0.4665
112,6,7,7,6,5,6,5,5,5,3,4,5,4,4,6,5,7,6,4,6,5,4,4,3,5,5,4,4,Female,20,Unmarried,4.1667,5.6000,4.3333,4.7500,4.3333,5.3333,6.5000,112,-0.4678,0.1144,-0.4803,-0.1778,-0.8461,0.7860,1.7062,-0.0549,1.3410,-0.6650,-1.4436
113,7,6,6,7,7,5,7,6,6,7,7,6,4,7,7,6,7,7,7,7,7,6,6,6,5,7,6,7,Female,22,Unmarried,6.1667,6.8000,5.6667,6.7500,6.3333,6.3333,6.5000,113,2.2975,1.9564,1.1976,2.3854,1.5828,2.0905,1.7062,2.3429,3.5668,3.3089,2.7007
114,5,5,5,4,5,4,3,6,6,6,4,6,4,6,6,6,7,7,6,5,7,5,5,5,5,5,5,6,Female,21,Unmarried,5.1667,6.4000,4.6667,5.7500,6.0000,4.0000,4.7500,114,0.9149,1.3424,-0.0608,1.1038,1.1780,-0.9534,-0.5655,-0.0816,0.5391,-1.1231,-0.6662
115,6,6,7,7,6,6,6,7,5,5,4,5,3,6,6,6,6,6,6,6,5,4,4,4,5,6,6,4,Female,22,Unmarried,4.8333,6.0000,4.0000,5.2500,5.6667,6.0000,6.5000,115,0.4540,0.7284,-0.8998,0.4630,0.7732,1.6556,1.7062,-0.6554,2.8249,1.2801,1.3192
116,6,6,7,6,6,5,3,5,5,3,4,4,6,6,6,6,5,6,5,6,7,6,5,3,5,6,4,5,Male,21,Unmarried,4.6667,5.8000,4.6667,6.0000,4.3333,4.6667,6.2500,116,0.2235,0.4214,-0.0608,1.4242,-0.8461,-0.0837,1.3817,-0.0256,-0.1157,0.0708,-1.1690
117,4,5,6,3,4,4,5,6,7,5,4,5,6,7,6,5,7,7,5,5,3,5,4,3,4,5,4,3,Female,22,Unmarried,3.8333,6.4000,5.0000,4.5000,6.0000,4.3333,4.5000,117,-0.9287,1.3424,0.3586,-0.4982,1.1780,-0.5185,-0.8900,0.4814,0.4615,-0.6109,-1.0485
118,7,5,5,5,5,5,5,4,3,5,5,6,6,5,6,5,6,6,7,5,5,5,5,5,3,5,4,4,Male,22,Unmarried,4.3333,5.6000,5.6667,5.5000,4.0000,5.0000,5.5000,118,-0.2374,0.1144,1.1976,0.7834,-1.2509,0.3511,0.4081,0.1370,0.1433,-0.4392,-0.5105
119,5,6,6,6,6,5,6,7,7,7,6,5,4,6,6,7,7,7,6,7,6,4,4,4,5,6,5,4,Female,21,Unmarried,4.6667,6.6000,5.0000,5.7500,7.0000,5.6667,5.7500,119,0.2235,1.6494,0.3586,1.1038,2.3925,1.2208,0.7326,0.5915,0.8944,2.9207,1.7528
120,5,5,5,6,6,7,5,4,5,2,6,6,5,5,5,6,5,5,3,6,4,4,3,4,4,5,4,4,Male,20,Unmarried,4.0000,5.2000,5.6667,4.2500,3.6667,6.0000,5.2500,120,-0.6982,-0.4996,1.1976,-0.8186,-1.6557,1.6556,0.0836,-0.5984,0.1384,-2.7412,-0.1384
121,5,6,5,6,5,5,5,6,4,2,6,4,5,6,5,5,4,6,6,5,6,5,6,3,5,4,4,5,Male,23,Unmarried,4.5000,5.2000,5.0000,5.5000,4.0000,5.0000,5.5000,121,-0.0069,-0.4996,0.3586,0.7834,-1.2509,0.3511,0.4081,-0.1792,0.1433,-0.4392,-0.5105
122,6,7,7,6,4,4,4,6,6,6,4,5,4,6,6,6,6,7,7,5,6,6,4,3,5,5,4,5,Female,23,Unmarried,4.3333,6.2000,4.3333,6.0000,6.0000,4.0000,6.5000,122,-0.2374,1.0354,-0.4803,1.4242,1.1780,-0.9534,1.7062,-0.4973,-1.6267,-1.1231,2.0099
123,7,5,7,6,6,5,4,5,4,5,3,4,5,5,5,5,5,4,5,4,6,4,5,1,4,5,4,4,Male,21,Unmarried,3.8333,4.8000,4.0000,4.7500,4.6667,5.0000,6.2500,123,-0.9287,-1.1136,-0.8998,-0.1778,-0.4413,0.3511,1.3817,1.0020,0.4852,-0.1549,-0.6097
124,7,7,6,6,4,4,3,6,5,3,7,5,6,5,7,6,6,6,7,6,7,7,6,5,5,7,6,5,Female,24,Unmarried,5.6667,6.0000,6.0000,6.7500,4.6667,3.6667,6.5000,124,1.6062,0.7284,1.6171,2.3854,-0.4413,-1.3882,1.7062,1.1778,-2.3686,0.6126,-0.7529
125,6,5,6,5,5,6,4,7,7,7,5,4,4,5,5,5,5,6,5,5,7,6,6,4,5,6,5,5,Male,18,Unmarried,5.1667,5.2000,4.3333,5.7500,7.0000,5.0000,5.5000,125,0.9149,-0.4996,-0.4803,1.1038,2.3925,0.3511,0.4081,0.2400,0.1433,0.8401,0.9764
126,6,5,7,6,7,4,6,4,5,4,4,3,4,5,4,6,7,7,6,6,6,6,6,6,4,5,7,4,Male,20,Unmarried,5.3333,5.8000,3.6667,6.0000,4.3333,5.6667,6.0000,126,1.1453,0.4214,-1.3192,1.4242,-0.8461,1.2208,1.0572,-0.5559,1.2906,-1.0329,-0.8944
127,7,6,5,7,6,4,3,5,4,5,5,5,4,7,6,7,7,7,4,3,4,6,6,4,5,5,5,6,Female,21,Unmarried,5.1667,6.8000,4.6667,4.2500,4.6667,4.3333,6.2500,127,0.9149,1.9564,-0.0608,-0.8186,-0.4413,-0.5185,1.3817,-0.1190,-0.7165,0.2288,-0.6097
128,5,6,6,5,6,6,4,5,4,6,4,5,5,6,6,6,5,6,6,7,7,7,5,6,4,6,4,4,Male,20,Unmarried,4.8333,5.8000,4.6667,6.7500,5.0000,5.3333,5.5000,128,0.4540,0.4214,-0.0608,2.3854,-0.0364,0.7860,0.4081,-0.0256,0.3208,-0.0286,-0.0149
129,6,6,6,7,6,7,5,6,4,6,4,5,3,6,5,6,5,5,4,5,4,5,4,6,4,5,6,4,Male,23,Unmarried,4.8333,5.4000,4.0000,4.5000,5.3333,6.0000,6.2500,129,0.4540,-0.1926,-0.8998,-0.4982,0.3684,1.6556,1.3817,0.1733,2.2876,0.6099,0.5090
130,5,6,5,5,4,4,5,5,5,5,4,4,5,4,5,4,6,5,5,7,5,6,5,3,4,5,5,5,Male,20,Unmarried,4.5000,4.8000,4.3333,5.7500,5.0000,4.3333,5.2500,130,-0.0069,-1.1136,-0.4803,1.1038,-0.0364,-0.5185,0.0836,0.5349,-0.0433,0.0189,-0.0030
131,4,4,5,5,5,5,5,7,5,5,5,5,4,7,7,7,7,7,6,6,5,5,4,4,3,5,4,3,Male,20,Unmarried,3.8333,7.0000,4.6667,5.5000,5.6667,5.0000,4.5000,131,-0.9287,2.2633,-0.0608,0.7834,0.7732,0.3511,-0.8900,-0.1377,-0.3125,0.2715,-0.6882
132,7,5,7,6,5,4,4,5,5,5,6,6,7,6,5,6,5,7,4,6,6,5,6,4,5,6,4,4,Male,22,Unmarried,4.8333,5.8000,6.3333,5.2500,5.0000,4.3333,6.2500,132,0.4540,0.4214,2.0365,0.4630,-0.0364,-0.5185,1.3817,0.8581,-0.7165,0.0189,-0.0503
133,5,3,5,4,4,4,3,3,3,5,3,5,4,3,5,5,5,5,4,4,4,4,2,3,4,6,4,2,Male,25,Unmarried,3.5000,4.6000,4.0000,4.0000,3.6667,3.6667,4.2500,133,-1.3896,-1.4206,-0.8998,-1.1390,-1.6557,-1.3882,-1.2146,1.2782,1.6861,2.2985,2.0109
134,3,5,4,3,5,3,4,4,5,4,4,5,3,5,5,6,6,5,4,4,6,4,4,4,6,5,6,6,Male,22,Unmarried,5.1667,5.4000,4.0000,4.5000,4.3333,4.0000,3.7500,134,0.9149,-0.1926,-0.8998,-0.4982,-0.8461,-0.9534,-1.8636,0.1733,1.7767,0.8066,1.5767
135,4,5,4,4,3,3,2,5,4,5,4,5,5,5,6,5,6,6,4,5,5,4,7,5,5,5,4,7,Male,20,Unmarried,5.5000,5.6000,4.6667,4.5000,4.6667,2.6667,4.2500,135,1.3757,0.1144,-0.0608,-0.4982,-0.4413,-2.6927,-1.2146,-0.0070,3.2705,1.1882,0.5359
136,5,6,7,5,5,6,4,6,7,7,4,6,4,7,6,7,6,6,6,5,5,4,7,4,4,5,5,5,Male,23,Unmarried,5.0000,6.4000,4.6667,5.0000,6.6667,5.0000,5.7500,136,0.6844,1.3424,-0.0608,0.1426,1.9876,0.3511,0.7326,-0.0816,0.2572,0.6979,1.4562
137,6,4,4,6,6,6,7,5,6,6,7,6,6,6,5,5,6,7,5,5,4,5,6,2,3,5,4,5,Female,24,Unmarried,4.1667,5.8000,6.3333,4.7500,5.6667,6.3333,5.0000,137,-0.4678,0.4214,2.0365,-0.1778,0.7732,2.0905,-0.2410,0.8581,-0.5037,1.6164,-0.1863
138,4,4,3,3,4,3,4,5,3,4,3,5,3,5,5,4,3,5,3,4,2,1,4,3,2,5,3,4,Male,22,Unmarried,3.5000,4.4000,3.6667,2.5000,4.0000,3.6667,3.5000,138,-1.3896,-1.7276,-1.3192,-3.0614,-1.2509,-1.3882,-2.1881,2.2792,3.0376,1.7365,2.7371
139,5,5,4,3,5,7,6,6,7,5,4,5,5,5,6,6,5,5,5,6,5,5,5,4,4,5,4,4,Male,22,Unmarried,4.3333,5.4000,4.6667,5.2500,6.0000,6.0000,4.2500,139,-0.2374,-0.1926,-0.0608,0.4630,1.1780,1.6556,-1.2146,0.0117,-2.0109,1.9504,-1.4308
140,5,4,6,5,4,4,4,4,4,5,4,5,4,6,6,6,5,6,3,4,4,5,3,3,4,5,4,4,Female,19,Unmarried,3.8333,5.8000,4.3333,4.0000,4.3333,4.0000,5.0000,140,-0.9287,0.4214,-0.4803,-1.1390,-0.8461,-0.9534,-0.2410,-0.2024,0.2297,0.8066,0.2039
141,4,5,4,5,5,5,6,7,6,6,6,6,5,4,5,6,5,5,5,4,6,5,6,4,5,5,7,6,Female,20,Unmarried,5.5000,5.0000,5.6667,5.0000,6.3333,5.3333,4.5000,141,1.3757,-0.8066,1.1976,0.1426,1.5828,0.7860,-0.8900,-0.9660,-0.6995,1.2441,-1.4088
142,5,6,5,6,6,6,5,5,5,3,7,6,4,6,5,5,6,4,3,5,4,5,4,5,4,5,5,4,Female,23,Married,4.5000,5.2000,5.6667,4.2500,4.3333,5.6667,5.5000,142,-0.0069,-0.4996,1.1976,-0.8186,-0.8461,1.2208,0.4081,-0.5984,0.4982,-1.0329,-0.3453
143,7,6,4,5,5,5,3,4,4,5,6,4,7,5,5,6,4,6,5,5,4,5,5,4,3,6,5,5,Male,20,Unmarried,4.6667,5.2000,5.6667,4.7500,4.3333,4.3333,5.5000,143,0.2235,-0.4996,1.1976,-0.1778,-0.8461,-0.5185,0.4081,-0.5984,-0.2116,0.4387,-0.3453
144,6,5,6,5,4,4,4,4,4,3,4,4,5,5,7,5,5,6,6,4,4,3,3,2,3,3,2,3,Female,22,Unmarried,2.6667,5.6000,4.3333,4.2500,3.6667,4.0000,5.5000,144,-2.5418,0.1144,-0.4803,-0.8186,-1.6557,-0.9534,0.4081,-0.0549,-0.3891,1.5785,-0.6757
145,6,6,7,7,5,5,4,5,5,6,4,5,7,6,5,6,6,6,6,6,6,4,6,4,5,5,5,5,Female,18,Unmarried,5.0000,5.8000,5.3333,5.5000,5.3333,4.6667,6.5000,145,0.6844,0.4214,0.7781,0.7834,0.3684,-0.0837,1.7062,0.3279,-0.1428,-0.0308,0.6285
146,5,5,4,6,7,6,5,5,5,4,6,6,6,6,6,7,5,6,5,6,5,5,4,7,5,6,6,5,Female,23,Unmarried,5.5000,6.0000,6.0000,5.2500,4.6667,6.0000,5.0000,146,1.3757,0.7284,1.6171,0.4630,-0.4413,1.6556,-0.2410,1.1778,-0.3989,-0.7306,0.1063
147,4,3,3,5,5,5,4,5,4,5,5,5,3,4,6,5,5,6,3,3,3,4,5,4,4,4,4,4,Male,23,Unmarried,4.1667,5.2000,4.3333,3.2500,4.6667,4.6667,3.7500,147,-0.4678,-0.4996,-0.4803,-2.1002,-0.4413,-0.0837,-1.8636,0.2400,0.1560,0.0369,0.8223
148,5,6,6,5,5,4,4,5,5,5,6,3,3,5,4,6,6,5,6,4,4,3,5,5,6,4,5,3,Male,21,Unmarried,4.6667,5.2000,4.0000,4.2500,5.0000,4.3333,5.5000,148,0.2235,-0.4996,-0.8998,-0.8186,-0.0364,-0.5185,0.4081,0.4496,-0.2116,0.0189,-0.0149
149,5,6,5,6,7,7,6,4,5,6,6,4,6,7,6,6,6,7,6,6,7,7,5,3,6,5,4,5,Female,22,Unmarried,4.6667,6.4000,5.3333,6.5000,5.0000,6.6667,5.5000,149,0.2235,1.3424,0.7781,2.0650,-0.0364,2.5253,0.4081,1.0445,1.0306,-0.0920,-0.0149
150,4,5,5,6,5,4,1,4,4,5,4,4,3,6,5,5,5,5,4,5,4,4,5,3,2,5,5,4,Male,23,Unmarried,4.0000,5.2000,3.6667,4.2500,4.3333,3.3333,5.0000,150,-0.6982,-0.4996,-1.3192,-0.8186,-0.8461,-1.8231,-0.2410,0.6591,0.4393,1.5424,0.2039
151,7,4,6,7,3,5,3,5,5,3,5,4,5,6,6,7,5,6,5,7,5,4,5,3,4,5,3,6,Male,24,Unmarried,4.3333,6.0000,4.6667,5.2500,4.3333,3.6667,6.0000,151,-0.2374,0.7284,-0.0608,0.4630,-0.8461,-1.3882,1.0572,-0.0443,-1.4676,1.1745,-0.8944
152,5,5,6,4,6,4,3,3,4,3,5,3,4,6,5,6,6,5,5,3,5,4,5,3,3,5,5,3,Male,22,Unmarried,4.0000,5.6000,4.0000,4.2500,3.3333,4.3333,5.0000,152,-0.6982,0.1144,-0.8998,-0.8186,-2.0605,-0.5185,-0.2410,-0.1029,0.1249,1.0685,0.4965
153,7,7,7,6,6,5,5,3,4,4,6,6,6,7,7,6,7,7,7,7,6,6,5,4,5,5,6,4,Male,20,Unmarried,4.8333,6.8000,6.0000,6.5000,3.6667,5.3333,6.7500,153,0.4540,1.9564,1.6171,2.0650,-1.6557,0.7860,2.0307,3.1636,1.5961,-1.3013,-3.3623
154,5,3,4,3,5,5,4,3,3,3,6,5,5,4,5,4,4,5,6,5,4,5,6,5,3,6,4,6,Male,21,Unmarried,5.0000,4.4000,5.3333,5.0000,3.0000,4.6667,3.7500,154,0.6844,-1.7276,0.7781,0.1426,-2.4653,-0.0837,-1.8636,-1.3443,0.1560,0.2064,4.5944
155,6,5,6,5,5,5,5,5,4,5,3,3,4,4,6,7,5,6,6,6,4,4,6,4,4,6,3,5,Female,24,Unmarried,4.6667,5.6000,3.3333,5.0000,4.6667,5.0000,5.5000,155,0.2235,0.1144,-1.7387,0.1426,-0.4413,0.3511,0.4081,-0.1988,0.1433,-0.1549,-0.1801
156,3,3,4,5,5,7,5,5,4,4,4,5,4,5,4,6,5,5,6,7,4,4,5,7,5,5,6,4,Male,19,Unmarried,5.3333,5.0000,4.3333,5.2500,4.3333,5.6667,3.7500,156,1.1453,-0.8066,-0.4803,0.4630,-0.8461,1.2208,-1.8636,0.3874,-2.2751,-1.0329,1.5767
157,7,6,4,7,6,4,4,6,6,6,4,4,4,5,6,3,6,6,6,6,5,3,5,4,5,6,3,5,Female,22,Unmarried,4.6667,5.2000,4.0000,5.0000,6.0000,4.6667,6.0000,157,0.2235,-0.4996,-0.8998,0.1426,1.1780,-0.0837,1.0572,0.4496,-0.0885,-0.0986,1.2453
158,4,4,6,5,4,5,4,4,3,4,4,5,3,6,6,6,6,5,4,5,5,3,5,4,5,6,6,5,Male,19,Unmarried,5.1667,5.8000,4.0000,4.2500,3.6667,4.3333,4.7500,158,0.9149,0.4214,-0.8998,-0.8186,-1.6557,-0.5185,-0.5655,-0.3791,0.2932,0.8586,0.9363
159,6,5,7,6,5,4,7,7,3,5,6,5,4,6,5,6,6,6,7,6,5,5,7,5,4,5,4,4,Male,18,Unmarried,4.8333,5.8000,5.0000,5.7500,5.0000,5.3333,6.0000,159,0.4540,0.4214,0.3586,1.1038,-0.0364,0.7860,1.0572,0.1511,0.8309,-0.0286,-0.0385
160,6,6,6,6,5,6,4,6,4,4,5,4,5,5,5,6,6,5,4,4,4,4,6,3,4,5,5,4,Male,19,Unmarried,4.5000,5.4000,4.6667,4.0000,4.6667,5.0000,6.0000,160,-0.0069,-0.1926,-0.0608,-1.1390,-0.4413,0.3511,1.0572,0.0117,0.3712,-0.1549,-0.4665
161,5,5,5,6,3,5,3,7,6,5,5,4,4,6,5,7,5,7,5,5,5,5,5,4,5,6,4,4,Female,18,Unmarried,4.6667,6.0000,4.3333,5.0000,6.0000,3.6667,5.2500,161,0.2235,0.7284,-0.4803,0.1426,1.1780,-1.3882,0.0836,-0.3498,-0.1160,-1.6353,0.0984
162,6,5,6,6,5,6,6,4,5,4,4,5,4,5,5,5,6,7,6,5,6,5,5,5,5,6,4,6,Female,26,Unmarried,5.1667,5.6000,4.3333,5.5000,4.3333,5.6667,5.7500,162,0.9149,0.1144,-0.4803,0.7834,-0.8461,1.2208,0.7326,-0.0549,0.8944,-1.0329,-0.6198
163,4,4,5,5,6,7,4,6,7,7,4,5,4,7,6,6,6,6,5,7,5,4,5,4,4,6,5,5,Male,22,Unmarried,4.8333,6.2000,4.3333,5.2500,6.6667,5.6667,4.5000,163,0.4540,1.0354,-0.4803,0.4630,1.9876,1.2208,-0.8900,-0.4973,-1.0865,2.4265,-1.7691
