KNO1,KNO2,KNO3,KNO4,CON1,CON2,CON3,ATT1,ATT2,ATT3,ATT4,GPI1,GPI2,GPI3,GPI4,MAR1,MAR2,MAR3,MAR4,MAR5,IMA1,IMA2,IMA3,IMA4,IMA5,Q1_GENDER,Q2_BIRTHYEAR,Q3_PROVINCE/CITY
5,4,3,4,5,4,5,4,5,4,4,5,5,3,4,3,3,2,3,3,5,4,4,3,4,1,2002,9
3,2,5,4,5,5,4,3,5,4,4,3,4,3,4,4,4,5,4,5,3,3,5,4,3,2,2003,12
3,4,3,1,4,5,4,3,3,3,4,5,3,4,4,3,2,4,4,3,3,4,4,3,4,1,2006,1
4,2,3,3,2,4,3,3,4,4,4,4,3,2,2,4,3,3,4,4,3,3,3,3,4,1,2003,5
3,3,4,4,4,4,3,3,5,5,5,4,4,3,3,3,2,5,3,3,3,2,2,3,4,2,2005,2
4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,2,3,4,3,4,2,3,2,4,2,2005,5
4,3,4,4,4,5,4,4,4,4,5,4,3,3,5,2,3,3,4,4,4,4,3,2,3,1,2004,6
3,3,3,4,5,4,5,5,5,4,5,5,5,3,5,5,5,3,4,4,5,4,5,5,5,1,2006,9
4,3,4,5,4,4,4,5,4,4,5,4,3,3,4,5,4,3,3,2,4,4,4,3,4,2,2003,13
3,3,4,2,4,5,4,4,4,5,3,4,3,4,4,3,3,4,2,4,3,4,2,4,2,1,2005,1
3,3,2,3,3,4,5,3,4,3,4,4,3,4,3,2,3,3,4,4,4,3,4,3,4,1,2004,5
4,4,3,4,5,5,4,5,5,5,5,5,5,3,4,4,3,5,4,4,4,4,4,4,3,1,2005,5
3,2,2,4,5,4,5,3,5,4,3,5,4,5,3,3,3,4,4,4,3,3,3,3,3,1,2005,9
2,1,5,4,4,4,5,3,3,3,5,3,2,3,3,3,1,2,4,2,1,2,3,4,4,1,2002,5
2,4,2,4,3,5,4,3,4,4,3,5,3,3,2,3,2,5,5,3,3,3,2,3,3,1,2002,5
5,3,3,4,4,3,3,5,4,4,4,5,3,4,3,3,4,4,3,3,4,3,4,4,3,2,2002,5
3,3,4,4,4,3,5,5,4,4,4,4,4,4,2,3,4,3,4,3,5,3,3,4,3,2,2006,11
3,4,3,5,4,4,5,5,5,4,5,4,5,5,4,5,4,5,5,5,5,4,3,5,5,2,2005,5
1,2,2,3,3,4,5,5,4,3,4,4,4,3,3,4,3,4,3,4,2,4,4,3,3,2,2002,6
4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,5,4,3,3,4,4,2,2003,10
3,4,4,4,4,5,5,3,5,5,5,4,4,3,5,3,4,2,5,3,4,4,4,4,3,1,2004,5
3,2,3,3,2,4,3,4,3,2,3,4,3,2,3,2,2,5,3,4,3,3,1,3,4,1,2001,5
3,3,3,2,3,5,4,2,4,3,3,3,4,3,3,3,3,3,4,2,2,2,3,3,3,1,2004,5
2,1,3,3,4,3,3,4,3,3,4,4,5,3,2,1,3,2,3,3,3,2,3,4,3,2,2002,5
1,3,3,5,5,4,4,4,3,4,4,3,3,3,2,3,5,5,4,2,3,2,4,3,4,2,2004,4
4,3,2,4,4,4,4,4,5,5,4,3,4,4,4,2,3,4,3,3,4,5,4,4,3,2,2003,7
4,4,3,5,4,5,4,5,4,4,5,4,3,3,5,3,4,5,4,4,4,3,5,3,4,1,2003,5
3,3,4,5,5,5,4,4,4,5,4,4,4,4,3,3,5,4,5,4,4,4,4,3,5,1,2005,13
3,5,2,3,4,5,4,3,4,4,5,3,4,3,3,4,4,5,3,5,3,4,2,3,4,2,2003,5
2,2,4,4,5,5,5,3,4,4,3,4,5,5,3,2,4,5,4,3,4,3,2,2,3,1,2002,6
4,2,5,2,4,5,5,5,4,5,3,4,5,5,4,5,5,5,4,4,3,4,3,5,4,1,2002,11
4,3,4,4,4,5,4,5,4,5,4,3,5,5,5,3,4,4,4,4,3,4,4,4,3,1,2007,10
3,3,4,3,4,5,5,3,3,3,4,2,4,2,2,2,3,3,3,2,3,2,3,2,3,2,2005,4
3,2,3,2,3,4,4,3,3,4,4,3,3,3,3,4,2,4,5,2,4,5,4,3,4,2,2007,8
3,4,1,2,3,3,5,3,3,3,4,2,2,4,3,2,4,4,4,4,3,3,3,4,3,2,2003,6
2,1,2,4,4,4,4,4,5,4,3,3,3,3,3,3,4,4,4,3,4,1,3,2,2,2,2002,10
4,4,2,4,3,4,4,3,3,4,3,3,3,4,2,4,4,3,3,4,2,3,3,3,4,2,2005,5
4,3,3,4,3,5,5,3,5,2,5,3,4,4,4,1,3,3,4,4,3,3,3,3,4,2,2003,5
4,4,5,2,4,5,5,4,5,4,3,4,4,4,4,4,3,4,4,3,4,3,5,4,5,1,2001,4
4,4,5,4,5,4,5,4,5,5,5,3,4,4,3,4,3,4,4,4,4,4,5,5,4,1,2002,7
4,3,4,4,4,5,5,4,4,4,2,5,3,4,4,4,3,4,3,3,5,4,4,3,4,3,2003,5
4,3,3,3,5,5,4,3,4,4,4,3,5,4,3,3,2,5,4,5,3,4,3,5,3,1,2004,1
2,4,4,4,4,3,5,3,2,4,5,5,3,3,3,5,4,4,5,3,4,4,4,3,4,2,2001,5
4,2,4,3,4,4,4,3,3,5,3,3,4,4,3,3,4,4,4,4,3,4,3,3,3,1,2003,5
4,4,4,4,5,4,3,3,5,4,5,5,4,2,4,4,3,4,3,4,4,3,4,4,3,1,2003,6
4,3,3,3,4,4,5,3,4,5,4,5,4,5,4,3,4,4,4,4,4,4,4,5,3,2,2002,2
4,4,4,3,5,5,5,5,5,5,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,2,2003,5
2,3,2,3,4,4,4,4,5,4,4,3,5,3,2,3,3,3,3,3,4,5,5,4,5,2,2002,7
4,2,4,3,5,4,4,5,5,3,4,4,4,4,5,4,3,4,3,4,4,3,5,5,4,1,2004,13
3,2,5,4,5,4,4,3,4,4,3,3,4,2,4,3,2,4,4,4,3,3,4,2,4,2,2003,5
4,1,4,3,5,5,5,5,4,4,4,5,4,4,5,4,5,3,5,5,4,3,2,5,4,1,2004,1
3,4,4,4,5,5,3,4,4,4,4,3,3,3,3,3,3,4,3,5,4,3,4,3,4,1,2003,3
3,3,3,3,4,3,3,2,2,4,4,3,5,2,3,2,3,3,5,4,3,3,3,4,3,1,2005,5
3,4,3,3,3,4,4,3,5,3,5,3,4,3,4,4,3,4,4,3,4,4,4,4,4,2,2006,9
3,5,4,4,5,4,4,3,4,4,3,4,4,5,4,4,2,4,4,4,4,3,4,3,3,2,2005,5
4,3,3,3,4,5,4,4,4,5,4,5,3,3,2,3,4,3,4,4,3,3,3,4,4,1,2005,5
3,3,2,3,3,3,4,3,3,3,4,4,2,4,4,4,3,3,3,4,3,2,3,3,3,2,2003,9
5,4,5,5,5,3,5,4,4,5,4,4,5,4,5,4,3,4,4,4,4,4,5,5,4,1,2004,5
3,4,3,3,4,4,5,5,4,4,3,2,4,4,3,4,3,3,2,4,4,3,5,2,3,1,2002,5
3,1,5,5,3,5,5,4,5,5,4,3,4,3,4,4,4,3,3,3,4,3,3,3,4,1,2001,13
2,4,4,4,3,3,4,4,4,3,3,3,5,5,3,3,3,3,4,4,4,4,3,3,4,1,2004,7
2,2,3,4,5,5,3,2,4,5,4,4,3,2,4,3,1,5,3,3,2,4,3,2,3,2,2004,5
4,5,4,4,4,4,4,5,5,5,3,5,4,4,5,4,4,4,4,4,3,4,4,2,5,1,2003,13
3,3,3,3,5,4,5,5,4,4,3,3,4,4,3,3,4,4,4,3,4,4,2,3,3,2,2005,5
4,3,3,3,3,4,4,5,3,4,4,4,4,3,3,3,4,3,4,4,3,4,2,5,3,1,2007,7
4,3,4,4,5,5,4,4,4,3,4,5,4,3,1,4,5,5,4,4,4,3,4,3,3,2,2002,5
4,2,4,4,4,4,4,3,4,3,3,4,3,5,2,4,3,4,2,3,3,4,3,3,3,1,2005,11
4,2,5,4,5,4,4,5,4,4,3,5,4,5,4,4,4,3,4,4,4,3,3,4,3,1,2003,5
4,4,3,5,4,3,5,4,4,4,2,4,5,4,3,3,3,4,3,4,3,4,3,4,4,2,2001,5
3,3,3,4,4,5,4,4,4,4,4,4,4,5,5,5,3,4,4,5,3,2,3,4,4,1,2003,9
4,3,4,3,4,5,5,5,4,4,4,4,5,4,4,3,2,4,4,4,4,3,3,3,4,2,2004,13
4,5,3,4,5,5,5,3,4,5,5,5,5,4,3,3,3,5,5,5,5,4,4,5,5,2,2002,5
4,2,3,4,5,5,4,4,4,4,4,4,4,5,5,4,3,4,5,4,3,4,5,3,3,2,2005,5
5,3,4,4,5,5,4,5,5,5,4,5,5,4,3,5,3,4,5,4,4,3,5,4,5,2,2003,9
3,2,2,3,3,4,4,4,4,2,4,4,4,4,3,4,2,5,4,3,4,3,4,5,4,2,2003,5
4,4,5,3,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,4,4,4,5,5,5,2,2004,9
3,3,2,3,5,5,5,4,4,3,5,4,3,5,4,2,3,3,4,2,3,3,4,4,4,2,2002,5
5,4,4,4,5,5,5,5,4,5,3,5,5,4,4,4,3,5,4,4,4,3,5,3,5,2,2003,1
4,2,4,2,4,4,3,5,4,3,3,4,3,3,5,3,3,4,4,4,4,4,3,3,4,1,2004,5
3,3,3,3,4,4,4,4,4,3,5,4,4,5,3,4,4,3,4,3,4,3,4,2,4,1,2004,5
4,2,3,3,5,5,3,3,4,2,3,4,4,2,1,3,3,4,3,4,2,3,3,3,4,2,2003,5
4,4,3,4,4,5,5,4,4,4,3,5,4,5,3,3,4,3,5,4,3,3,2,3,4,2,2005,1
3,2,3,4,5,5,4,4,4,3,4,5,3,4,4,3,3,4,3,5,3,3,4,3,4,1,2004,1
3,5,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,4,4,3,3,2,3,2,3,1,2002,6
3,5,4,3,5,3,4,4,4,2,3,3,4,3,3,4,3,2,3,2,3,4,3,3,3,2,2006,5
3,2,5,4,4,5,3,4,4,5,4,4,5,4,5,4,4,3,4,4,3,5,3,3,3,1,2003,12
3,3,4,3,4,4,3,4,3,3,4,2,5,3,3,2,3,4,3,4,4,3,3,3,3,2,2005,5
5,3,2,3,4,4,5,3,3,3,3,4,3,4,3,2,4,4,4,4,2,3,3,1,3,1,2005,8
3,2,2,3,4,4,4,4,4,4,4,3,2,2,2,4,3,4,2,4,4,3,4,2,2,2,2003,3
2,4,4,4,5,5,4,4,4,4,5,4,3,3,2,3,2,3,4,3,3,3,4,3,4,2,2004,1
3,3,3,2,3,3,4,3,3,1,3,2,3,3,2,3,3,4,4,3,2,3,4,2,2,1,2005,5
3,3,4,5,4,5,4,4,5,4,5,5,4,5,3,4,2,3,5,3,4,4,4,4,5,1,2002,5
3,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,5,3,3,2,1,2005,5
2,2,4,3,5,4,4,2,4,4,3,3,2,3,3,4,4,3,3,3,3,3,3,4,3,1,2006,5
3,3,3,3,4,3,3,4,5,4,5,4,4,3,3,2,2,2,5,3,4,3,3,4,2,1,2004,1
3,4,4,4,3,4,4,4,4,4,5,3,3,4,2,3,2,4,5,2,2,4,3,4,3,1,2004,8
3,2,4,4,3,4,3,3,3,4,3,2,3,3,3,3,4,3,5,4,3,4,4,3,3,2,2002,10
5,2,4,3,5,3,5,4,4,4,3,5,4,4,5,4,4,3,4,4,4,4,3,4,3,3,2004,9
4,2,3,3,4,5,4,4,5,3,4,3,3,3,4,3,3,4,4,4,4,3,3,2,4,2,2006,1
5,3,4,3,4,5,3,3,5,3,4,4,4,3,5,4,5,4,4,3,4,3,3,4,5,1,2002,5
2,4,3,3,5,5,4,3,4,4,3,3,4,3,5,4,3,5,4,4,3,2,4,4,4,2,2005,5
3,4,3,4,3,4,5,3,4,4,3,4,3,5,4,3,3,4,3,4,3,3,4,5,4,1,2003,9
3,2,3,5,4,5,5,4,5,3,3,4,3,4,3,3,3,4,4,3,3,3,4,3,3,2,2004,1
4,4,3,4,4,4,5,5,5,4,5,5,5,4,4,4,3,5,5,4,3,3,5,3,5,1,2004,12
4,3,4,3,4,4,3,4,4,3,5,4,3,3,3,4,3,4,3,2,4,2,3,3,3,1,2001,12
3,4,3,2,4,4,4,3,3,3,2,5,3,4,3,2,4,4,3,3,4,4,3,2,3,2,2005,13
3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,3,3,4,4,4,4,1,2003,6
4,3,4,4,5,4,4,4,5,5,4,3,5,4,3,4,3,4,4,3,3,4,4,5,4,2,2005,8
4,3,3,4,5,4,4,4,4,5,4,3,4,4,5,4,3,4,4,4,3,5,5,4,4,1,2005,1
3,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,2,2005,5
5,4,3,3,4,3,3,5,4,4,3,5,3,4,3,3,4,3,4,4,4,3,3,3,4,1,2005,12
3,4,3,4,4,4,4,3,3,4,3,3,2,4,4,3,3,4,3,3,3,4,3,3,4,1,2002,5
4,5,2,4,5,5,5,5,5,4,5,4,4,5,4,4,3,5,4,4,4,5,5,4,3,2,2003,1
3,3,3,2,3,4,3,4,4,4,4,3,5,4,3,3,3,3,5,2,4,3,4,3,4,3,2005,5
4,4,5,4,4,4,5,5,5,5,5,5,5,2,3,4,2,3,4,4,5,3,4,3,3,1,2003,3
5,5,3,5,5,4,5,5,3,4,5,4,3,4,5,4,4,5,5,4,4,5,4,4,4,2,2002,10
4,2,4,2,4,4,4,4,4,2,3,4,4,2,3,2,2,4,5,4,4,4,2,4,4,2,2004,5
3,4,4,3,4,4,4,4,4,5,4,4,4,5,5,3,5,5,4,4,5,4,4,4,4,2,2001,1
3,4,3,4,5,4,3,4,3,3,3,4,5,4,3,4,3,5,4,4,4,3,4,4,4,3,1999,9
5,4,5,3,4,4,5,5,5,5,5,4,5,4,4,3,5,5,5,4,5,4,5,3,5,2,2005,5
3,4,3,4,4,3,2,5,4,3,5,4,4,4,2,3,4,3,3,4,4,4,5,4,5,1,2005,13
4,3,3,2,3,2,3,3,3,2,2,2,2,3,3,2,1,2,2,2,3,3,2,3,3,1,2005,13
3,3,4,3,3,5,5,4,4,5,5,5,3,4,4,3,3,5,5,3,5,4,4,5,4,1,2006,12
5,4,3,3,3,4,5,4,5,4,5,3,4,5,3,2,3,4,5,3,5,3,3,3,3,1,2006,7
4,3,4,4,5,5,4,4,4,4,4,5,4,4,4,3,4,3,3,3,3,4,4,4,4,2,2005,8
5,3,3,4,5,5,5,4,5,4,5,4,4,5,4,4,4,3,3,4,5,3,4,3,5,2,2004,11
3,3,3,4,4,4,3,4,4,3,5,3,3,2,2,3,3,3,4,3,4,3,4,2,5,2,2006,10
4,2,3,5,4,4,5,4,5,4,4,4,5,5,4,3,4,3,4,4,4,4,3,3,3,2,2004,5
4,4,5,3,5,4,5,4,4,5,4,4,4,3,3,3,5,3,4,4,2,4,5,4,5,2,1999,4
4,4,3,4,4,5,4,4,4,5,5,4,5,4,4,3,3,4,3,3,4,4,5,3,3,1,2005,10
5,4,3,4,5,5,5,4,5,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,5,2,2002,13
3,3,3,4,5,4,3,4,5,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,4,1,2004,5
3,4,5,5,4,5,4,5,3,3,4,5,4,4,4,3,5,5,4,5,4,5,3,3,4,1,2000,5
5,3,5,4,5,5,5,4,5,5,5,4,5,4,4,5,4,5,5,4,4,4,5,5,5,1,2005,5
2,4,3,3,4,4,4,4,5,5,4,4,4,3,2,3,4,3,4,4,4,3,4,4,4,2,2007,12
1,1,4,3,4,4,3,3,3,3,5,3,4,3,4,2,3,4,5,3,3,3,5,3,4,1,2005,5
4,4,5,5,4,5,5,4,4,3,4,4,4,4,4,4,3,3,4,4,5,3,2,3,3,1,2007,3
4,3,4,3,3,4,4,5,4,4,3,3,4,5,3,3,5,3,5,5,4,3,3,2,4,2,2005,10
4,4,3,3,5,4,4,3,5,4,2,4,3,3,4,3,4,4,4,4,3,4,4,4,4,1,2004,5
4,4,2,4,4,5,4,5,5,4,4,5,4,4,5,5,3,4,4,3,5,4,4,3,5,3,2002,12
5,5,5,4,5,5,5,4,5,4,4,5,4,5,3,5,2,4,4,4,4,4,4,5,5,2,2001,8
2,4,3,4,4,4,4,3,5,4,5,4,3,4,3,3,4,4,3,3,4,4,4,3,3,1,2005,8
4,3,5,4,5,5,2,4,5,4,4,5,4,3,4,5,5,5,5,5,4,3,4,5,4,2,2002,4
3,3,3,3,4,5,5,4,5,4,4,4,4,5,4,5,4,5,4,3,2,3,4,4,4,2,2003,1
4,2,4,4,4,3,4,4,5,3,5,5,5,3,3,3,3,3,4,4,2,2,4,3,4,2,2003,10
3,3,4,3,3,4,4,4,3,5,4,4,3,2,3,3,4,4,4,4,4,4,3,3,3,2,2002,1
4,3,3,4,5,4,4,4,5,4,3,5,4,3,3,3,4,4,3,4,3,3,3,3,3,1,2005,13
4,5,3,3,5,4,4,4,4,5,4,3,5,5,4,4,3,3,4,4,4,3,4,5,5,2,2004,5
3,2,2,2,3,4,4,4,4,3,2,3,3,3,2,2,3,3,3,2,3,3,2,3,2,1,2002,8
3,2,2,2,4,5,4,4,4,3,5,3,4,4,3,3,3,3,3,4,3,4,3,4,3,2,2006,1
3,4,3,3,4,5,4,4,4,4,3,4,4,3,4,4,3,4,5,3,3,3,4,2,5,2,2005,3
3,2,4,3,5,4,3,4,4,4,5,3,3,3,3,2,2,3,4,2,2,3,2,4,3,1,2005,10
3,2,2,4,3,4,4,4,3,4,3,3,2,3,4,3,1,5,3,5,3,2,1,2,3,2,2003,12
4,3,3,4,4,5,5,4,3,4,4,5,4,4,4,2,4,4,4,2,3,3,4,4,3,2,2004,8
4,2,3,3,4,5,5,4,4,4,3,4,4,3,2,5,5,5,3,4,4,2,3,3,3,1,2002,1
5,4,4,3,4,5,5,4,5,4,4,4,5,4,5,4,3,3,5,5,3,4,4,3,4,1,2003,10
4,4,2,4,5,4,4,5,4,3,4,4,4,3,5,3,4,5,4,5,4,4,3,3,4,2,2005,3
3,2,2,4,5,3,3,4,4,4,4,4,3,5,4,2,4,4,3,4,4,4,4,4,3,1,2006,1
3,3,3,3,4,4,4,4,3,5,5,4,4,4,4,4,2,4,4,3,4,4,3,4,3,2,2002,7
3,3,3,2,4,5,4,4,5,4,4,4,4,4,3,5,3,5,5,4,3,3,3,5,3,1,2003,4
